price,make,model,year,mileage,color,vin,state,country
14500,dodge,pickup,2006,111782,silver,1d7ks28c96j246101,pennsylvania,usa
7600,chevrolet,door,2017,110489,brown,1g1ze5st0hf155999,nebraska,usa
13270,ford,door,2016,84035,white,1ft7w2btxgeb64448,texas,usa
12800,ford,door,2012,131101,gray,1ftfw1et3cfb01665,arizona,usa
33000,chevrolet,1500,2018,52521,white,3gcukreh0jg303596,ontario,canada
9280,ford,door,2016,101380,white,1ftfw1ef9gkf57726,texas,usa
900,ford,van,2003,142027,white,1ftne24293hb19928,florida,usa
7560,ford,door,2016,111476,gray,1ftfx1ef7gkd59790,texas,usa
19500,ford,drw,2011,76897,white,1fd8w3gt0beb32874,pennsylvania,usa
17100,chevrolet,malibu,2019,15780,white,1g1zd5st5kf112138,washington,usa
8020,ford,door,2016,31944,white,1ftew1cp2gke43168,texas,usa
10300,ford,fiesta,2019,18937,black,3fadp4bjxkm123238,missouri,usa
22600,chevrolet,van,2019,9706,white,1gcwgafgxk1243764,washington,usa
10480,ford,doors,2016,57289,gray,wf0dp3th0g4113219,texas,usa
10300,ford,fiesta,2019,19956,silver,3fadp4bj4km123235,missouri,usa
22700,chevrolet,van,2019,6075,white,1gcwgafg4k1252945,washington,usa
7410,ford,door,2016,21034,gray,1ftex1ep1gfd60365,texas,usa
10300,ford,fiesta,2019,22881,gray,3fadp4bj7km123231,missouri,usa
10300,chevrolet,door,2013,167600,gray,1gc4k0cgxdf194396,washington,usa
7570,ford,door,2016,37252,white,1ftfx1ef0gkf25969,texas,usa
67000,dodge,challenger,2019,10944,blue,2c3cdzl97kh518237,ohio,usa
18900,chevrolet,impala,2019,27601,white,1g11z5s37ku129047,texas,usa
12560,ford,doors,2019,15958,white,1fd8w3ht1kee23298,florida,usa
33000,dodge,durango,2019,32251,white,1c4sdjct6kc717612,ohio,usa
18300,chevrolet,impala,2019,25809,black,2g11z5s33k9132248,texas,usa
11760,ford,cab,2017,30553,white,1fd8w3ht4hed36245,texas,usa
31700,dodge,durango,2019,26549,red,1c4sdjct5kc744865,ohio,usa
25,dodge,door,2007,160528,dark blue,2b3ka43g87h836300,minnesota,usa
0,ford,door,2000,124969,black,1fafp34p7yw270338,oklahoma,usa
7340,ford,doors,2019,15854,gray,1fatp8uh7k5172626,florida,usa
8200,hyundai,door,2017,56690,white,5npd84lf6hh128808,connecticut,usa
3000,kia,door,2013,97142,silver,knagm4a75d5378293,missouri,usa
6530,jeep,mpv,2019,10185,black,3c4njdcb3kt659526,georgia,usa
0,mazda,door,2009,117541,gray,jm3er293590215768,indiana,usa
12700,kia,soul,2019,23514,silver,kndjp3a55k7006351,california,usa
13800,kia,sorento,2017,86959,gray,5xyphda50hg232046,north carolina,usa
0,chevrolet,pickup,1998,258631,gray,1gccs1445wk226994,texas,usa
725,ford,door,2017,67279,gray,3fa6p0h75hr150081,virginia,usa
7400,ford,doors,2019,16482,gray,1fatp8uh2k5188622,florida,usa
9800,hyundai,elantra,2017,35687,red,kmhd84lf5hu191402,connecticut,usa
0,honda,door,2003,152608,white,1hgcm56363a030975,arkansas,usa
4400,jeep,mpv,2019,17911,green,3c4njcbbxkt664931,georgia,usa
10330,infiniti,mpv,2019,21278,blue,5n1dl0mm9kc550722,florida,usa
1800,chevrolet,door,2011,47269,black,2g1fb3ddxb9212618,arkansas,usa
50,chevrolet,door,2008,172102,blue,1g1al58f787159241,texas,usa
720,ford,wagon,2006,26914,no_color,1fafp36n06w137851,florida,usa
22800,ford,door,2017,67217,red,1ftew1ep3hfb25518,michigan,usa
2500,ford,door,2017,78698,black,1fmcu9gd2huc27625,california,usa
0,ford,door,2003,246065,gold,1fafp55u03a242094,kansas,usa
9190,gmc,mpv,2017,41961,black,1gkknxls3hz174527,virginia,usa
10900,jeep,mpv,2019,13273,red,1c4hjxeg1kw609998,michigan,usa
10400,infiniti,mpv,2019,31713,black,5n1dl0mm1kc552741,florida,usa
0,chevrolet,door,2004,0,maroon,3gnek12t74g240524,wyoming,usa
0,chevrolet,door,2003,194673,gray,1gndt13s632267445,texas,usa
7320,chevrolet,pickup,2008,325611,silver,1gchk23648f125262,florida,usa
22809,ford,f-150,2017,50732,black,1ftfx1ef5hke41700,michigan,usa
0,ford,van,1998,186855,blue,2fmda5143wba16791,california,usa
0,ford,door,2013,94004,black,3fa6p0h74dr270819,minnesota,usa
5520,gmc,mpv,2017,52904,silver,2gkfltek8h6226257,virginia,usa
10900,jeep,mpv,2019,14195,orange,1c4hjxeg1kw608401,michigan,usa
6330,jeep,mpv,2019,43965,red,1c4pjldbxkd300679,florida,usa
0,chevrolet,door,2009,117059,black,kl1td66e39b645208,colorado,usa
25,chevrolet,pickup,2010,149189,white,3gcrkse37ag234620,colorado,usa
2320,dodge,door,2007,112182,red,2b3ka43g67h630568,florida,usa
